"['close' 'timestamp' '7day_sma-2std' 'quarter' 'month' 'low' 'obv_ema'
 '14day_sma+2std' '7day_sma' 'obv' 'open' '14day_sma' '14day_sma-2std'
 '60day_return']",0.0009058527648448944,0.8649384450985614,0.02189323989890936,0.0007955522448982935,0.028205535713726367,0.05363682352296487

Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval

"['close' '14day_sma+2std' 'low' 'timestamp' '14day_sma-2std' 'obv' 'month'
 'quarter' 'open' '7day_sma-2std' 'obv_ema' '14day_sma' '7day_sma']",0.0013700683678810794,0.7831249554993129,0.02603223371232852,0.0011539636034805744,0.03397003979215471,0.06649257377678314

Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval

"['close' 'open' 'timestamp' '14day_sma-2std' '14day_sma' '14day_sma+2std'
 '7day_sma-2std' 'month' 'obv_ema' 'obv' 'quarter' 'low']",0.0011993870721198618,0.8238704048449622,0.02443803383563687,0.000959665991401853,0.030978476260168978,0.06070282816289985

Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval

"['close' 'timestamp' '14day_sma' 'obv_ema' 'month' '14day_sma+2std'
 'quarter' '14day_sma-2std' '7day_sma-2std' 'obv' 'open']",0.0013424993958324194,0.8215603053766518,0.02505084744127016,0.0010113783279139092,0.03180217489282627,0.06112735329858835

Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval

"['close' 'timestamp' 'obv' '14day_sma-2std' '14day_sma+2std' '14day_sma'
 '7day_sma-2std' 'obv_ema' 'month' 'quarter']",0.0011427296364369492,0.8355486052923189,0.023537950803367437,0.0009275657652868848,0.030455964363107678,0.05867148620971791

